date,Keywords,RelativePopularity,Type,Origin,Loc
2017-10-01,Burger,70.0,Mains,American,Worldwide
2017-11-01,Burger,67.0,Mains,American,Worldwide
2017-12-01,Burger,69.0,Mains,American,Worldwide
2018-01-01,Burger,73.0,Mains,American,Worldwide
2018-02-01,Burger,72.0,Mains,American,Worldwide
2018-03-01,Burger,76.0,Mains,American,Worldwide
2018-04-01,Burger,77.0,Mains,American,Worldwide
2018-05-01,Burger,77.0,Mains,American,Worldwide
2018-06-01,Burger,80.0,Mains,American,Worldwide
2018-07-01,Burger,86.0,Mains,American,Worldwide
2018-08-01,Burger,80.0,Mains,American,Worldwide
2018-09-01,Burger,74.0,Mains,American,Worldwide
2018-10-01,Burger,74.0,Mains,American,Worldwide
2018-11-01,Burger,73.0,Mains,American,Worldwide
2018-12-01,Burger,80.0,Mains,American,Worldwide
2019-01-01,Burger,80.0,Mains,American,Worldwide
2019-02-01,Burger,79.0,Mains,American,Worldwide
2019-03-01,Burger,82.0,Mains,American,Worldwide
2019-04-01,Burger,88.0,Mains,American,Worldwide
2019-05-01,Burger,91.0,Mains,American,Worldwide
2019-06-01,Burger,92.0,Mains,American,Worldwide
2019-07-01,Burger,95.0,Mains,American,Worldwide
2019-08-01,Burger,100.0,Mains,American,Worldwide
2019-09-01,Burger,89.0,Mains,American,Worldwide
2019-10-01,Burger,81.0,Mains,American,Worldwide
2019-11-01,Burger,84.0,Mains,American,Worldwide
2019-12-01,Burger,84.0,Mains,American,Worldwide
2020-01-01,Burger,86.0,Mains,American,Worldwide
2020-02-01,Burger,84.0,Mains,American,Worldwide
2020-03-01,Burger,73.0,Mains,American,Worldwide
2020-04-01,Burger,80.0,Mains,American,Worldwide
2020-05-01,Burger,97.0,Mains,American,Worldwide
2020-06-01,Burger,90.0,Mains,American,Worldwide
2004-01-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-02-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-03-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-04-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-05-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-06-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-07-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-08-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-09-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-10-01,Grilled Cheese,0.0,Mains,American,Worldwide
2004-11-01,Grilled Cheese,5.0,Mains,American,Worldwide
2004-12-01,Grilled Cheese,2.0,Mains,American,Worldwide
2005-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-02-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-03-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-04-01,Grilled Cheese,0.0,Mains,American,Worldwide
2005-05-01,Grilled Cheese,0.0,Mains,American,Worldwide
2005-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-07-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2005-10-01,Grilled Cheese,0.0,Mains,American,Worldwide
2005-11-01,Grilled Cheese,0.0,Mains,American,Worldwide
2005-12-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-02-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-03-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-04-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-05-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-07-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2006-11-01,Grilled Cheese,0.0,Mains,American,Worldwide
2006-12-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-01-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-02-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-03-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-04-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-05-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-06-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-07-01,Grilled Cheese,0.0,Mains,American,Worldwide
2007-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2007-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2007-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2007-11-01,Grilled Cheese,1.0,Mains,American,Worldwide
2007-12-01,Grilled Cheese,0.0,Mains,American,Worldwide
2008-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-02-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-03-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-04-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-05-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-07-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-11-01,Grilled Cheese,1.0,Mains,American,Worldwide
2008-12-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-02-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-03-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-04-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-05-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-07-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-11-01,Grilled Cheese,1.0,Mains,American,Worldwide
2009-12-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-02-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-03-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-04-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-05-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-07-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-11-01,Grilled Cheese,1.0,Mains,American,Worldwide
2010-12-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-01-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-02-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-03-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-04-01,Grilled Cheese,2.0,Mains,American,Worldwide
2011-05-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-06-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-07-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-08-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-09-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-10-01,Grilled Cheese,1.0,Mains,American,Worldwide
2011-11-01,Grilled Cheese,1.0,Mains,American,Worldwide
