geoName,Keywords,RelativePopularity,Type,Origin,geoSum,PercentageBreakdown
Albania,Kung Pao Chicken,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Mapo Tofu,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Peking Duck,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Sichuan Chicken,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Sichuan Pork,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Fried Rice,0.0,Mains,Chinese,2175.964816711765,0.0
Albania,Lo Mein,0.0,Soup/Noodles,Chinese,2175.964816711765,0.0
Albania,Bouillabaisse,0.0,Soup/Noodles,French,2175.964816711765,0.0
Albania,Pot-au-feu,0.0,Soup/Noodles,French,2175.964816711765,0.0
Albania,Quiche,10.356164383561643,Sides/Snacks,French,2175.964816711765,0.004759343673217789
Albania,Beef bourguignon,0.0,Mains,French,2175.964816711765,0.0
Albania,Cottage Pie,0.0,Mains,French,2175.964816711765,0.0
Albania,Escargot,0.0,Mains,French,2175.964816711765,0.0
Albania,Foie Gras,7.9459459459459465,Mains,French,2175.964816711765,0.003651688614135571
Albania,Ratatouille,1.891891891891892,Mains,French,2175.964816711765,0.0008694496700322789
Albania,Crepes,52.387096774193544,Desserts/Drinks,French,2175.964816711765,0.02407534183082929
Albania,Souffle,8.129032258064516,Desserts/Drinks,French,2175.964816711765,0.003735828904783856
Albania,Masala Dosa,0.0,Sides/Snacks,Indian,2175.964816711765,0.0
Albania,Naan,1.8064516129032258,Sides/Snacks,Indian,2175.964816711765,0.000830184201063079
Albania,Samosa,0.0,Sides/Snacks,Indian,2175.964816711765,0.0
Albania,Aloo gobi,0.0,Mains,Indian,2175.964816711765,0.0
Albania,Biryani,0.0,Mains,Indian,2175.964816711765,0.0
Albania,Chicken Tikka Masala,0.0,Mains,Indian,2175.964816711765,0.0
Albania,Indian Curry,0.0,Mains,Indian,2175.964816711765,0.0
Albania,Tandoori,0.0,Mains,Indian,2175.964816711765,0.0
Albania,Mango Lassi,0.0,Desserts/Drinks,Indian,2175.964816711765,0.0
Albania,Masala Chai,0.0,Desserts/Drinks,Indian,2175.964816711765,0.0
Albania,Soto,1.1666666666666667,Soup/Noodles,Indonesian,2175.964816711765,0.0005361606298532386
Albania,Pempek,0.0,Sides/Snacks,Indonesian,2175.964816711765,0.0
Albania,Gado-gado,0.0,Mains,Indonesian,2175.964816711765,0.0
Albania,Chicken Satay,0.0,Mains,Indonesian,2175.964816711765,0.0
Albania,Nasi Goreng,0.0,Mains,Indonesian,2175.964816711765,0.0
Albania,Nasi Padang,0.0,Mains,Indonesian,2175.964816711765,0.0
Albania,Rendang,0.0,Mains,Indonesian,2175.964816711765,0.0
Albania,Martabak,0.0,Desserts/Drinks,Indonesian,2175.964816711765,0.0
Albania,Minestrone,6.0,Soup/Noodles,Italian,2175.964816711765,0.002757397524959513
Albania,Bruschetta,10.0,Sides/Snacks,Italian,2175.964816711765,0.004595662541599188
Albania,Calzone,6.0,Sides/Snacks,Italian,2175.964816711765,0.002757397524959513
Albania,Caprese Salad,0.0,Sides/Snacks,Italian,2175.964816711765,0.0
Albania,Fettuccine Alfredo,0.0,Mains,Italian,2175.964816711765,0.0
Albania,Lasagna,38.705882352941174,Mains,Italian,2175.964816711765,0.017787917366895677
Albania,Macaroni,6.588235294117647,Mains,Italian,2175.964816711765,0.0030277306156418177
Albania,Pasta Carbonara,9.058823529411764,Mains,Italian,2175.964816711765,0.004163129596507499
Albania,Pizza,1050.0,Mains,Italian,2175.964816711765,0.48254456686791475
Albania,Ravioli,56.0,Mains,Italian,2175.964816711765,0.025735710232955452
Albania,Risotto,112.0,Mains,Italian,2175.964816711765,0.051471420465910904
Albania,Spaghetti,154.0,Mains,Italian,2175.964816711765,0.07077320314062749
Albania,Gelato,30.799999999999997,Desserts/Drinks,Italian,2175.964816711765,0.014154640628125497
Albania,Tiramisu,215.6,Desserts/Drinks,Italian,2175.964816711765,0.09908248439687849
Albania,Miso soup,0.0,Soup/Noodles,Japanese,2175.964816711765,0.0
